,colors,gene_id,gene_name,gene_type,receptor
1072,blue,ENSG00000102158,MAGT1,gene with protein product,
1073,turquoise,ENSG00000182902,SLC25A18,gene with protein product,
1074,red,ENSG00000082438,COBLL1,gene with protein product,
1075,skyblue,ENSG00000065361,ERBB3,gene with protein product,Erb-b2 receptor tyrosine kinases
1076,grey,ENSG00000211452,DIO1,gene with protein product,
1077,turquoise,ENSG00000157379,DHRS1,gene with protein product,
1078,red,ENSG00000165029,ABCA1,gene with protein product,
1079,red,ENSG00000174437,ATP2A2,gene with protein product,
1080,turquoise,ENSG00000185187,SIGIRR,gene with protein product,
1081,brown,ENSG00000205364,MT1M,gene with protein product,
1082,grey,ENSG00000084110,HAL,gene with protein product,
1083,lightgreen,ENSG00000064225,ST3GAL6,gene with protein product,
1084,brown,ENSG00000014641,MDH1,gene with protein product,
1085,pink,ENSG00000127922,SEM1,gene with protein product,
1086,turquoise,ENSG00000205866,FAM99A,"RNA, long non-coding",
1087,brown,ENSG00000100345,MYH9,gene with protein product,
1088,brown,ENSG00000183648,NDUFB1,gene with protein product,
1089,turquoise,ENSG00000153904,DDAH1,gene with protein product,
1090,black,ENSG00000013441,CLK1,gene with protein product,
1091,turquoise,ENSG00000100911,PSME2,gene with protein product,
1092,steelblue,ENSG00000141232,TOB1,gene with protein product,
1093,grey,ENSG00000197142,ACSL5,gene with protein product,
1094,steelblue,ENSG00000118985,ELL2,gene with protein product,
1095,turquoise,ENSG00000176046,NUPR1,gene with protein product,
1096,yellow,ENSG00000026025,VIM,gene with protein product,
1097,turquoise,ENSG00000166816,LDHD,gene with protein product,
1098,turquoise,ENSG00000102531,FNDC3A,gene with protein product,
1099,grey,ENSG00000039068,CDH1,gene with protein product,
1100,red,ENSG00000142864,SERBP1,gene with protein product,
1101,paleturquoise,ENSG00000152990,ADGRA3,gene with protein product,
1102,turquoise,ENSG00000185324,CDK10,gene with protein product,
1103,cyan,ENSG00000010256,UQCRC1,gene with protein product,
1104,orange,ENSG00000289027,,,
1105,turquoise,ENSG00000198189,HSD17B11,gene with protein product,
1106,orange,ENSG00000149485,FADS1,gene with protein product,
1107,orange,ENSG00000285772,,,
1108,darkturquoise,ENSG00000250056,LINC01018,"RNA, long non-coding",
1109,greenyellow,ENSG00000260314,MRC1,gene with protein product,
1110,darkred,ENSG00000138434,ITPRID2,gene with protein product,
1111,brown,ENSG00000172164,SNTB1,gene with protein product,
1112,green,ENSG00000181061,HIGD1A,gene with protein product,
1113,grey,ENSG00000065978,YBX1,gene with protein product,
1114,blue,ENSG00000169814,BTD,gene with protein product,
1115,grey,ENSG00000165475,CRYL1,gene with protein product,
1116,turquoise,ENSG00000108773,KAT2A,gene with protein product,
1117,turquoise,ENSG00000068697,LAPTM4A,gene with protein product,
1118,cyan,ENSG00000115268,RPS15,gene with protein product,
1119,grey,ENSG00000069667,RORA,gene with protein product,RAR related orphan receptors
1120,blue,ENSG00000023228,NDUFS1,gene with protein product,
1121,turquoise,ENSG00000187446,CHP1,gene with protein product,
1122,yellow,ENSG00000161013,MGAT4B,gene with protein product,
1123,grey,ENSG00000143321,HDGF,gene with protein product,
1124,blue,ENSG00000213949,ITGA1,gene with protein product,
1125,greenyellow,ENSG00000133800,LYVE1,gene with protein product,
1126,blue,ENSG00000177119,ANO6,gene with protein product,
1127,blue,ENSG00000257046,SLCO1B3-SLCO1B7,readthrough,
1128,pink,ENSG00000122034,GTF3A,gene with protein product,
1129,turquoise,ENSG00000003756,RBM5,gene with protein product,
1130,turquoise,ENSG00000100075,SLC25A1,gene with protein product,
1131,yellow,ENSG00000141959,PFKL,gene with protein product,
1132,green,ENSG00000140905,GCSH,gene with protein product,
1133,grey,ENSG00000185650,ZFP36L1,gene with protein product,
1134,black,ENSG00000005022,SLC25A5,gene with protein product,
1135,green,ENSG00000198814,GK,gene with protein product,
1136,blue,ENSG00000042781,USH2A,gene with protein product,
1137,midnightblue,ENSG00000196821,ILRUN,gene with protein product,
1138,green,ENSG00000091317,CMTM6,gene with protein product,
1139,yellow,ENSG00000099769,IGFALS,gene with protein product,
1140,orange,ENSG00000104549,SQLE,gene with protein product,
1141,brown,ENSG00000288663,,,
1142,turquoise,ENSG00000225756,DBH-AS1,"RNA, long non-coding",
1143,turquoise,ENSG00000089248,ERP29,gene with protein product,
1144,grey,ENSG00000104325,DECR1,gene with protein product,
1145,red,ENSG00000120137,PANK3,gene with protein product,
1146,turquoise,ENSG00000182919,C11orf54,gene with protein product,
1147,midnightblue,ENSG00000168234,TTC39C,gene with protein product,
1148,grey60,ENSG00000175061,SNHG29,"RNA, long non-coding",
1149,turquoise,ENSG00000126231,PROZ,gene with protein product,
1150,blue,ENSG00000126777,KTN1,gene with protein product,
1151,green,ENSG00000112378,PERP,gene with protein product,
1152,black,ENSG00000100129,EIF3L,gene with protein product,
1153,blue,ENSG00000140740,UQCRC2,gene with protein product,
1154,turquoise,ENSG00000114378,HYAL1,gene with protein product,
1155,darkgrey,ENSG00000137700,SLC37A4,gene with protein product,
1156,grey,ENSG00000254814,,,
1157,green,ENSG00000089063,TMEM230,gene with protein product,
1158,turquoise,ENSG00000167676,PLIN4,gene with protein product,
1159,grey,ENSG00000172497,ACOT12,gene with protein product,
1160,brown,ENSG00000140319,SRP14,gene with protein product,
1161,blue,ENSG00000125107,CNOT1,gene with protein product,
1162,grey,ENSG00000137124,ALDH1B1,gene with protein product,
1163,violet,ENSG00000240409,MTATP8P1,pseudogene,
1164,red,ENSG00000109814,UGDH,gene with protein product,
1165,turquoise,ENSG00000288656,,,
1166,green,ENSG00000072042,RDH11,gene with protein product,
1167,cyan,ENSG00000162496,DHRS3,gene with protein product,
1168,grey,ENSG00000221963,APOL6,gene with protein product,
1169,turquoise,ENSG00000172366,MCRIP2,gene with protein product,
1170,red,ENSG00000198961,PJA2,gene with protein product,
1171,pink,ENSG00000169020,ATP5ME,gene with protein product,
1172,grey,ENSG00000164111,ANXA5,gene with protein product,
1173,blue,ENSG00000138796,HADH,gene with protein product,
1174,darkturquoise,ENSG00000116962,NID1,gene with protein product,
1175,brown,ENSG00000123349,PFDN5,gene with protein product,
1176,tan,ENSG00000253215,,,
1177,grey,ENSG00000143921,ABCG8,gene with protein product,
1178,darkturquoise,ENSG00000189056,RELN,gene with protein product,
1179,midnightblue,ENSG00000158864,NDUFS2,gene with protein product,
1180,grey,ENSG00000105640,RPL18A,gene with protein product,
1181,orange,ENSG00000109084,TMEM97,gene with protein product,
1182,purple,ENSG00000030582,GRN,gene with protein product,
1183,blue,ENSG00000107581,EIF3A,gene with protein product,
1184,grey,ENSG00000160200,CBS,gene with protein product,
1185,yellow,ENSG00000123453,SARDH,gene with protein product,
1186,yellow,ENSG00000157637,SLC38A10,gene with protein product,
1187,pink,ENSG00000111775,COX6A1,gene with protein product,
1188,midnightblue,ENSG00000133313,CNDP2,gene with protein product,
1189,blue,ENSG00000156011,PSD3,gene with protein product,
1190,turquoise,ENSG00000115107,STEAP3,gene with protein product,
1191,turquoise,ENSG00000181035,SLC25A42,gene with protein product,
1192,turquoise,ENSG00000105701,FKBP8,gene with protein product,
1193,tan,ENSG00000182718,ANXA2,gene with protein product,
1194,blue,ENSG00000150527,MIA2,gene with protein product,
1195,midnightblue,ENSG00000165280,VCP,gene with protein product,
1196,brown,ENSG00000172216,CEBPB,gene with protein product,
1197,salmon,ENSG00000162337,LRP5,gene with protein product,Low density lipoprotein receptors
1198,turquoise,ENSG00000147955,SIGMAR1,gene with protein product,
1199,midnightblue,ENSG00000108861,DUSP3,gene with protein product,
1200,darkgrey,ENSG00000173193,PARP14,gene with protein product,
1201,grey,ENSG00000215021,PHB2,gene with protein product,
1202,blue,ENSG00000197081,IGF2R,gene with protein product,
1203,green,ENSG00000172115,CYCS,gene with protein product,
1204,turquoise,ENSG00000162231,NXF1,gene with protein product,
1205,lightyellow,ENSG00000127603,MACF1,gene with protein product,
1206,red,ENSG00000123124,WWP1,gene with protein product,
1207,yellow,ENSG00000178719,GRINA,gene with protein product,
1208,yellow,ENSG00000106211,HSPB1,gene with protein product,
1209,blue,ENSG00000069431,ABCC9,gene with protein product,
1210,turquoise,ENSG00000242797,GLYCTK-AS1,"RNA, long non-coding",
1211,turquoise,ENSG00000178952,TUFM,gene with protein product,
1212,turquoise,ENSG00000198055,GRK6,gene with protein product,
1213,turquoise,ENSG00000119431,HDHD3,gene with protein product,
1214,cyan,ENSG00000106400,ZNHIT1,gene with protein product,
1215,grey,ENSG00000100941,PNN,gene with protein product,
1216,darkturquoise,ENSG00000188554,NBR1,gene with protein product,
1217,blue,ENSG00000075415,SLC25A3,gene with protein product,
1218,brown,ENSG00000198258,UBL5,gene with protein product,
1219,turquoise,ENSG00000259970,,,
1220,green,ENSG00000117500,TMED5,gene with protein product,
1221,green,ENSG00000164040,PGRMC2,gene with protein product,Membrane associated progesterone receptor family
1222,turquoise,ENSG00000143257,NR1I3,gene with protein product,Nuclear receptor subfamily 1 group I
1223,darkturquoise,ENSG00000164300,SERINC5,gene with protein product,
1224,magenta,ENSG00000100292,HMOX1,gene with protein product,
1225,yellow,ENSG00000093010,COMT,gene with protein product,
1226,brown,ENSG00000173221,GLRX,gene with protein product,
1227,darkgreen,ENSG00000051620,HEBP2,gene with protein product,
1228,grey,ENSG00000057608,GDI2,gene with protein product,
1229,turquoise,ENSG00000111181,SLC6A12,gene with protein product,
1230,turquoise,ENSG00000139508,SLC46A3,gene with protein product,
1231,greenyellow,ENSG00000135218,CD36,gene with protein product,
1232,grey,ENSG00000125968,ID1,gene with protein product,
1233,midnightblue,ENSG00000149428,HYOU1,gene with protein product,
1234,brown,ENSG00000259357,,,
1235,blue,ENSG00000188559,RALGAPA2,gene with protein product,
1236,turquoise,ENSG00000009724,MASP2,gene with protein product,
1237,grey,ENSG00000109919,MTCH2,gene with protein product,
1238,darkorange,ENSG00000110092,CCND1,gene with protein product,
1239,yellow,ENSG00000169223,LMAN2,gene with protein product,
1240,red,ENSG00000113594,LIFR,gene with protein product,
1241,darkturquoise,ENSG00000172057,ORMDL3,gene with protein product,
1242,turquoise,ENSG00000183077,AFMID,gene with protein product,
1243,yellow,ENSG00000105699,LSR,gene with protein product,
1244,brown,ENSG00000135940,COX5B,gene with protein product,
1245,brown,ENSG00000167863,ATP5PD,gene with protein product,
1246,darkred,ENSG00000114480,GBE1,gene with protein product,
1247,midnightblue,ENSG00000042445,RETSAT,gene with protein product,
1248,turquoise,ENSG00000130813,SHFL,gene with protein product,
1249,turquoise,ENSG00000103091,WDR59,gene with protein product,
1250,turquoise,ENSG00000123200,ZC3H13,gene with protein product,
1251,grey60,ENSG00000237949,LINC00844,"RNA, long non-coding",
1252,red,ENSG00000065809,FAM107B,gene with protein product,
1253,white,ENSG00000067082,KLF6,gene with protein product,
1254,blue,ENSG00000002549,LAP3,gene with protein product,
1255,grey,ENSG00000108389,MTMR4,gene with protein product,
1256,blue,ENSG00000128849,CGNL1,gene with protein product,
1257,grey,ENSG00000274276,,,
1258,grey,ENSG00000186951,PPARA,gene with protein product,Peroxisome proliferator activated receptors
1259,brown,ENSG00000116288,PARK7,gene with protein product,
1260,green,ENSG00000124767,GLO1,gene with protein product,
1261,green,ENSG00000152700,SAR1B,gene with protein product,
1262,blue,ENSG00000103479,RBL2,gene with protein product,
1263,orange,ENSG00000167910,CYP7A1,gene with protein product,
1264,blue,ENSG00000009765,IYD,gene with protein product,
1265,brown,ENSG00000279611,,,
1266,darkgrey,ENSG00000197102,DYNC1H1,gene with protein product,
1267,green,ENSG00000198856,OSTC,gene with protein product,
1268,blue,ENSG00000138757,G3BP2,gene with protein product,
1269,grey,ENSG00000123131,PRDX4,gene with protein product,
1270,tan,ENSG00000237988,OR2I1P,pseudogene,"Olfactory receptors, family 2"
1271,white,ENSG00000124145,SDC4,gene with protein product,
1272,white,ENSG00000185950,IRS2,gene with protein product,
1273,grey,ENSG00000150656,CNDP1,gene with protein product,
1274,turquoise,ENSG00000144040,SFXN5,gene with protein product,
1275,grey,ENSG00000105854,PON2,gene with protein product,
1276,brown,ENSG00000173674,EIF1AX,gene with protein product,
1277,yellow,ENSG00000176720,BOK,gene with protein product,
1278,turquoise,ENSG00000160867,FGFR4,gene with protein product,
1279,green,ENSG00000154518,ATP5MC3,gene with protein product,
1280,turquoise,ENSG00000117480,FAAH,gene with protein product,
1281,pink,ENSG00000126432,PRDX5,gene with protein product,
1282,brown,ENSG00000178127,NDUFV2,gene with protein product,
1283,black,ENSG00000170581,STAT2,gene with protein product,
1284,brown,ENSG00000160097,FNDC5,gene with protein product,
1285,brown,ENSG00000118363,SPCS2,gene with protein product,
1286,red,ENSG00000004864,SLC25A13,gene with protein product,
1287,pink,ENSG00000168653,NDUFS5,gene with protein product,
1288,green,ENSG00000137414,FAM8A1,gene with protein product,
1289,turquoise,ENSG00000110063,DCPS,gene with protein product,
1290,midnightblue,ENSG00000164976,MYORG,gene with protein product,
1291,grey,ENSG00000144802,NFKBIZ,gene with protein product,
1292,turquoise,ENSG00000121716,PILRB,gene with protein product,
1293,green,ENSG00000134970,TMED7,gene with protein product,
1294,black,ENSG00000075292,ZNF638,gene with protein product,
1295,turquoise,ENSG00000272752,STAG3L5P-PVRIG2P-PILRB,readthrough,
1296,cyan,ENSG00000132507,EIF5A,gene with protein product,
1297,brown,ENSG00000265257,,,
1298,red,ENSG00000102580,DNAJC3,gene with protein product,
1299,grey,ENSG00000145626,UGT3A1,gene with protein product,
1300,salmon,ENSG00000143641,GALNT2,gene with protein product,
1301,turquoise,ENSG00000143375,CGN,gene with protein product,
1302,green,ENSG00000128609,NDUFA5,gene with protein product,
1303,darkolivegreen,ENSG00000230021,,,
1304,blue,ENSG00000257062,,,
1305,turquoise,ENSG00000178252,WDR6,gene with protein product,
1306,grey,ENSG00000170439,TMT1B,gene with protein product,
1307,darkturquoise,ENSG00000162692,VCAM1,gene with protein product,
1308,grey,ENSG00000145050,MANF,gene with protein product,
1309,brown,ENSG00000205707,ETFRF1,gene with protein product,
1310,grey,ENSG00000178537,SLC25A20,gene with protein product,
1311,cyan,ENSG00000267580,,,
1312,black,ENSG00000123144,TRIR,gene with protein product,
1313,salmon,ENSG00000167074,TEF,gene with protein product,
1314,green,ENSG00000129625,REEP5,gene with protein product,
1315,yellow,ENSG00000114786,ABHD14A-ACY1,readthrough,
1316,yellow,ENSG00000130175,PRKCSH,gene with protein product,
1317,blue,ENSG00000197635,DPP4,gene with protein product,
1318,turquoise,ENSG00000087087,SRRT,gene with protein product,
1319,yellow,ENSG00000159069,FBXW5,gene with protein product,
1320,grey,ENSG00000143612,C1orf43,gene with protein product,
1321,red,ENSG00000131724,IL13RA1,gene with protein product,
1322,brown,ENSG00000262526,,,
1323,tan,ENSG00000148180,GSN,gene with protein product,
1324,greenyellow,ENSG00000163131,CTSS,gene with protein product,
1325,blue,ENSG00000128918,ALDH1A2,gene with protein product,
1326,grey,ENSG00000006831,ADIPOR2,gene with protein product,Adiponectin receptors
1327,green,ENSG00000213585,VDAC1,gene with protein product,
1328,turquoise,ENSG00000185787,MORF4L1,gene with protein product,
1329,blue,ENSG00000092148,HECTD1,gene with protein product,
1330,greenyellow,ENSG00000159189,C1QC,gene with protein product,
1331,turquoise,ENSG00000197444,OGDHL,gene with protein product,
1332,yellow,ENSG00000129250,KIF1C,gene with protein product,
1333,turquoise,ENSG00000197912,SPG7,gene with protein product,
1334,turquoise,ENSG00000178209,PLEC,gene with protein product,
1335,yellow,ENSG00000078902,TOLLIP,gene with protein product,
1336,yellow,ENSG00000105220,GPI,gene with protein product,
1337,red,ENSG00000100934,SEC23A,gene with protein product,
1338,grey,ENSG00000211895,IGHA1,immunoglobulin gene,
1339,brown,ENSG00000109180,OCIAD1,gene with protein product,
1340,grey60,ENSG00000106049,HIBADH,gene with protein product,
1341,blue,ENSG00000134250,NOTCH2,gene with protein product,Notch receptors
1342,skyblue3,ENSG00000090013,BLVRB,gene with protein product,
1343,purple,ENSG00000197448,GSTK1,gene with protein product,
1344,brown,ENSG00000156006,NAT2,gene with protein product,
1345,blue,ENSG00000147100,SLC16A2,gene with protein product,
1346,turquoise,ENSG00000105518,TMEM205,gene with protein product,
1347,grey,ENSG00000105976,MET,gene with protein product,
1348,turquoise,ENSG00000111666,CHPT1,gene with protein product,
1349,salmon,ENSG00000007202,BLTP2,gene with protein product,
1350,grey,ENSG00000152782,PANK1,gene with protein product,
1351,brown,ENSG00000114023,FAM162A,gene with protein product,
1352,yellow,ENSG00000243989,ACY1,gene with protein product,
1353,grey,ENSG00000211899,IGHM,immunoglobulin gene,
1354,grey,ENSG00000147649,MTDH,gene with protein product,
1355,brown,ENSG00000197694,SPTAN1,gene with protein product,
1356,blue,ENSG00000176994,SMCR8,gene with protein product,
1357,grey,ENSG00000147162,OGT,gene with protein product,
1358,grey60,ENSG00000264577,,,
1359,grey,ENSG00000285219,HULC,"RNA, long non-coding",
1360,black,ENSG00000143252,SDHC,gene with protein product,
1361,turquoise,ENSG00000116350,SRSF4,gene with protein product,
1362,white,ENSG00000062716,VMP1,gene with protein product,
1363,pink,ENSG00000104904,OAZ1,gene with protein product,
1364,yellow,ENSG00000105221,AKT2,gene with protein product,
1365,purple,ENSG00000139597,N4BP2L1,gene with protein product,
1366,turquoise,ENSG00000108479,GALK1,gene with protein product,
1367,turquoise,ENSG00000173209,AHSA2P,pseudogene,
1368,yellow,ENSG00000242110,AMACR,gene with protein product,
1369,red,ENSG00000117143,UAP1,gene with protein product,
1370,cyan,ENSG00000148803,FUOM,gene with protein product,
1371,lightgreen,ENSG00000169905,TOR1AIP2,gene with protein product,
1372,greenyellow,ENSG00000160339,FCN2,gene with protein product,
1373,brown,ENSG00000170296,GABARAP,gene with protein product,
1374,salmon,ENSG00000109906,ZBTB16,gene with protein product,
1375,green,ENSG00000077147,TM9SF3,gene with protein product,
1376,grey,ENSG00000108848,LUC7L3,gene with protein product,
1377,turquoise,ENSG00000249319,,,
1378,salmon,ENSG00000160216,AGPAT3,gene with protein product,
1379,brown,ENSG00000092199,HNRNPC,gene with protein product,
1380,blue,ENSG00000167986,DDB1,gene with protein product,
1381,yellow,ENSG00000173599,PC,gene with protein product,
1382,midnightblue,ENSG00000146701,MDH2,gene with protein product,
1383,grey,ENSG00000242515,UGT1A10,complex locus constituent,
1384,yellow,ENSG00000177697,CD151,gene with protein product,
1385,grey,ENSG00000244122,UGT1A7,complex locus constituent,
1386,grey,ENSG00000242366,UGT1A8,complex locus constituent,
1387,green,ENSG00000112081,SRSF3,gene with protein product,
1388,grey,ENSG00000119707,RBM25,gene with protein product,
1389,turquoise,ENSG00000187546,AGMO,gene with protein product,
1390,red,ENSG00000164096,C4orf3,gene with protein product,
1391,grey,ENSG00000160870,CYP3A7,gene with protein product,
1392,grey,ENSG00000288705,UGT1A5,complex locus constituent,
1393,lightgreen,ENSG00000168264,IRF2BP2,gene with protein product,
1394,red,ENSG00000188641,DPYD,gene with protein product,
1395,yellow,ENSG00000137171,KLC4,gene with protein product,
1396,blue,ENSG00000205213,LGR4,gene with protein product,"G protein-coupled receptors, Class A orphans"
1397,turquoise,ENSG00000072506,HSD17B10,gene with protein product,
1398,midnightblue,ENSG00000168610,STAT3,gene with protein product,
1399,red,ENSG00000005700,IBTK,gene with protein product,
1400,turquoise,ENSG00000182492,BGN,gene with protein product,
1401,pink,ENSG00000261012,,,
1402,turquoise,ENSG00000250218,ALDH1L1-AS1,"RNA, long non-coding",
1403,green,ENSG00000213639,PPP1CB,gene with protein product,
1404,turquoise,ENSG00000123689,G0S2,gene with protein product,
1405,red,ENSG00000091140,DLD,gene with protein product,
1406,yellow,ENSG00000273294,C1QTNF3-AMACR,readthrough,
1407,grey,ENSG00000196943,NOP9,gene with protein product,
1408,red,ENSG00000152332,UHMK1,gene with protein product,
1409,turquoise,ENSG00000204463,BAG6,gene with protein product,
1410,midnightblue,ENSG00000198959,TGM2,gene with protein product,
1411,grey,ENSG00000114054,PCCB,gene with protein product,
1412,turquoise,ENSG00000147813,NAPRT,gene with protein product,
1413,darkturquoise,ENSG00000141338,ABCA8,gene with protein product,
1414,green,ENSG00000164924,YWHAZ,gene with protein product,
1415,blue,ENSG00000289695,,,
1416,white,ENSG00000106366,SERPINE1,gene with protein product,
1417,blue,ENSG00000144028,SNRNP200,gene with protein product,
1418,midnightblue,ENSG00000139112,GABARAPL1,gene with protein product,
1419,red,ENSG00000138640,FAM13A,gene with protein product,
1420,turquoise,ENSG00000108950,FAM20A,gene with protein product,
1421,turquoise,ENSG00000112335,SNX3,gene with protein product,
1422,turquoise,ENSG00000125826,RBCK1,gene with protein product,
1423,turquoise,ENSG00000137575,SDCBP,gene with protein product,
1424,black,ENSG00000256340,ABCC6P1,pseudogene,
1425,pink,ENSG00000159377,PSMB4,gene with protein product,
1426,yellow,ENSG00000130402,ACTN4,gene with protein product,
1427,brown,ENSG00000248709,,,
1428,red,ENSG00000163527,STT3B,gene with protein product,
1429,brown,ENSG00000166275,BORCS7,gene with protein product,
1430,tan,ENSG00000198074,AKR1B10,gene with protein product,
1431,turquoise,ENSG00000146067,FAM193B,gene with protein product,
1432,yellow,ENSG00000114650,SCAP,gene with protein product,
1433,grey,ENSG00000138443,ABI2,gene with protein product,
1434,blue,ENSG00000118004,COLEC11,gene with protein product,
1435,turquoise,ENSG00000177169,ULK1,gene with protein product,
1436,grey,ENSG00000134463,ECHDC3,gene with protein product,
1437,red,ENSG00000153561,RMND5A,gene with protein product,
1438,turquoise,ENSG00000139428,MMAB,gene with protein product,
1439,blue,ENSG00000167397,VKORC1,gene with protein product,
1440,turquoise,ENSG00000100528,CNIH1,gene with protein product,
1441,turquoise,ENSG00000001084,GCLC,gene with protein product,
1442,brown,ENSG00000106803,SEC61B,gene with protein product,
1443,grey60,ENSG00000108953,YWHAE,gene with protein product,
1444,red,ENSG00000101974,ATP11C,gene with protein product,
1445,black,ENSG00000088448,ANKRD10,gene with protein product,
1446,grey,ENSG00000110887,DAO,gene with protein product,
1447,grey,ENSG00000101444,AHCY,gene with protein product,
1448,turquoise,ENSG00000255302,EID1,gene with protein product,
1449,turquoise,ENSG00000148120,AOPEP,gene with protein product,
1450,blue,ENSG00000255723,,,
1451,turquoise,ENSG00000158882,TOMM40L,gene with protein product,
1452,turquoise,ENSG00000008130,NADK,gene with protein product,
1453,blue,ENSG00000166340,TPP1,gene with protein product,
1454,royalblue,ENSG00000204388,HSPA1B,gene with protein product,
1455,greenyellow,ENSG00000128052,KDR,gene with protein product,
1456,green,ENSG00000173726,TOMM20,gene with protein product,
1457,grey,ENSG00000157399,ARSL,gene with protein product,
1458,turquoise,ENSG00000161010,MRNIP,gene with protein product,
1459,turquoise,ENSG00000172828,CES3,gene with protein product,
1460,purple,ENSG00000138668,HNRNPD,gene with protein product,
1461,lightyellow,ENSG00000130985,UBA1,gene with protein product,
1462,brown,ENSG00000141736,ERBB2,gene with protein product,
1463,salmon,ENSG00000160007,ARHGAP35,gene with protein product,
1464,yellow,ENSG00000177943,MAMDC4,gene with protein product,
1465,turquoise,ENSG00000178685,PARP10,gene with protein product,
1466,turquoise,ENSG00000143774,GUK1,gene with protein product,
1467,lightgreen,ENSG00000130222,GADD45G,gene with protein product,
1468,grey,ENSG00000134716,CYP2J2,gene with protein product,
1469,blue,ENSG00000204954,UQCC6,gene with protein product,
1470,sienna3,ENSG00000149115,TNKS1BP1,gene with protein product,
1471,grey,ENSG00000017427,IGF1,gene with protein product,
1472,turquoise,ENSG00000132716,DCAF8,gene with protein product,
1473,blue,ENSG00000162434,JAK1,gene with protein product,
1474,black,ENSG00000215908,CROCCP2,pseudogene,
1475,green,ENSG00000139684,ESD,gene with protein product,
1476,skyblue,ENSG00000135473,PAN2,gene with protein product,
1477,turquoise,ENSG00000089693,MLF2,gene with protein product,
1478,grey,ENSG00000278540,ACACA,gene with protein product,
1479,lightyellow,ENSG00000173230,GOLGB1,gene with protein product,
1480,turquoise,ENSG00000161653,NAGS,gene with protein product,
1481,grey,ENSG00000091483,FH,gene with protein product,
1482,greenyellow,ENSG00000100600,LGMN,gene with protein product,
1483,yellow,ENSG00000210154,MT-TD,"RNA, transfer",
1484,cyan,ENSG00000266964,FXYD1,gene with protein product,
1485,green,ENSG00000124783,SSR1,gene with protein product,
1486,brown,ENSG00000119723,COQ6,gene with protein product,
1487,cyan,ENSG00000170430,MGMT,gene with protein product,
1488,grey,ENSG00000171227,TMEM37,gene with protein product,
1489,turquoise,ENSG00000249096,LINC02362,"RNA, long non-coding",
1490,grey,ENSG00000124098,FAM210B,gene with protein product,
1491,grey60,ENSG00000112695,COX7A2,gene with protein product,
1492,blue,ENSG00000256043,CTSO,gene with protein product,
1493,grey,ENSG00000179222,MAGED1,gene with protein product,
1494,black,ENSG00000130396,AFDN,gene with protein product,
1495,brown,ENSG00000147065,MSN,gene with protein product,
1496,magenta,ENSG00000101608,MYL12A,gene with protein product,
1497,turquoise,ENSG00000196975,ANXA4,gene with protein product,
1498,brown,ENSG00000179010,MRFAP1,gene with protein product,
1499,darkorange,ENSG00000188536,HBA2,gene with protein product,
1500,blue,ENSG00000115760,BIRC6,gene with protein product,
1501,turquoise,ENSG00000122121,XPNPEP2,gene with protein product,
1502,turquoise,ENSG00000162688,AGL,gene with protein product,
1503,orange,ENSG00000100612,DHRS7,gene with protein product,
1504,turquoise,ENSG00000163110,PDLIM5,gene with protein product,
1505,brown,ENSG00000128016,ZFP36,gene with protein product,
1506,turquoise,ENSG00000204653,ASPDH,gene with protein product,
1507,brown,ENSG00000156411,ATP5MJ,gene with protein product,
1508,orange,ENSG00000109107,ALDOC,gene with protein product,
1509,turquoise,ENSG00000112893,MAN2A1,gene with protein product,
1510,brown,ENSG00000196683,TOMM7,gene with protein product,
1511,grey,ENSG00000138867,GUCD1,gene with protein product,
1512,brown,ENSG00000166295,ANAPC16,gene with protein product,
1513,blue,ENSG00000067704,IARS2,gene with protein product,
1514,grey,ENSG00000288702,UGT1A3,complex locus constituent,
1515,brown,ENSG00000262995,,,
1516,black,ENSG00000198563,DDX39B,gene with protein product,
1517,grey,ENSG00000198721,ECI2,gene with protein product,
1518,white,ENSG00000110436,SLC1A2,gene with protein product,
1519,grey,ENSG00000083223,TUT7,gene with protein product,
1520,royalblue,ENSG00000116761,CTH,gene with protein product,
1521,turquoise,ENSG00000104529,EEF1D,gene with protein product,
1522,grey,ENSG00000134802,SLC43A3,gene with protein product,
1523,cyan,ENSG00000221857,,,
1524,turquoise,ENSG00000183283,DAZAP2,gene with protein product,
1525,turquoise,ENSG00000182087,TMEM259,gene with protein product,
1526,blue,ENSG00000257093,DENND11,gene with protein product,
1527,blue,ENSG00000264772,,,
1528,turquoise,ENSG00000104518,GSDMD,gene with protein product,
1529,salmon,ENSG00000100239,PPP6R2,gene with protein product,
1530,yellow,ENSG00000197226,TBC1D9B,gene with protein product,
1531,lightgreen,ENSG00000164713,BRI3,gene with protein product,
1532,yellow,ENSG00000078808,SDF4,gene with protein product,
1533,darkorange,ENSG00000146147,MLIP,gene with protein product,
1534,yellow,ENSG00000099817,POLR2E,gene with protein product,
1535,black,ENSG00000115875,SRSF7,gene with protein product,
1536,turquoise,ENSG00000149532,CPSF7,gene with protein product,
1537,red,ENSG00000138071,ACTR2,gene with protein product,
1538,turquoise,ENSG00000136068,FLNB,gene with protein product,
1539,brown,ENSG00000115944,COX7A2L,gene with protein product,
1540,brown,ENSG00000162704,ARPC5,gene with protein product,
1541,yellow,ENSG00000184110,EIF3C,gene with protein product,
1542,yellow,ENSG00000131446,MGAT1,gene with protein product,
1543,grey,ENSG00000256612,CYP2B7P,pseudogene,
1544,blue,ENSG00000122218,COPA,gene with protein product,
1545,grey,ENSG00000241119,UGT1A9,complex locus constituent,
